paper_id	mfn_authors	unknown_authors	publication_date	year	title	journal	volume	issue	page_info	publisher	identifier_type	upload_id	access	publication_type	publication_subtype	keyword
1551	Korn, D.	"Trümper, S.; Schneider, J.; Nemyrovska, T.; Linnemann, U.; Ren, D.; Béthoux, O."	2020-01-15	2020	Age and depositional environment of the Xiaheyan insect fauna, embedded in marine black shales (Early Pennsylvanian, China)	Palaeogeography, Palaeoclimatology, Palaeoecology	538		109444	Elsevier B.V.	doi	10.1016/j.palaeo.2019.109444	closed_access	artikel	peerrevartikel	"Earth-Surface Processes; Palaeontology; Ecology, Evolution, Behavior and Systematics; Oceanography; Department: Diversity Dynamics; Collection: Fossile Cephalopoden, Cnidaria; Department: Biodiversity Informatics"
1570	"Gliwa, J.; Hofmann, R.; Tietje, M.; Varela, S.; Korn, D.; Aberhan, M."	"Lembke, C.; Pugh, A.; Foster, L."	2020-01-15	2020	Evolutionary and ecophenotypic controls on bivalve body size distributions following the end-Permian mass extinction	Global and Planetary Change	185		103088	Elsevier B.V.	doi	10.1016/j.gloplacha.2019.103088	closed_access	artikel	peerrevartikel	"Global and Planetary Change; Oceanography; Department: Diversity Dynamics; Laboratory: NB paleo laboratories"
1573	"Güldemeister, N.; Luther, R.; Wünnemann, K."	"Stickle, A.; Bruck Syal, M.; Cheng, A.; Collins, G.; Davison, T.; Gisler, G.; Heberling, T.; Michel, P.; Miller, P.; Owen, J.; Rainey, E.; Rivkin, A.; Rosch, T."	2020-03-01	2020	Benchmarking impact hydrocodes in the strength regime: Implications for modeling deflection by a kinetic impactor	Icarus	338		113446	Elsevier B.V.	doi	10.1016/j.icarus.2019.113446	closed_access	artikel	peerrevartikel	"Space and Planetary Science; Astronomy and Astrophysics; Department: Impact and Meteorite Research"
1600	Korn, D.	Klug, C.	2020-07-01	2020	The polyphasic ontogeny of the discoidal Late Devonian ammonoid Acrimeroceras	PalZ	94	3	463-479	Springer Science and Business Media LLC	doi	10.1007/s12542-019-00497-4	closed_access	artikel	peerrevartikel	"Palaeontology; Department: Diversity Dynamics; Collection: Fossile Cephalopoden, Cnidaria; Laboratory: NB paleo laboratories"
1616	Aberhan, M.	"Antell, G.; Kiessling, W.; Saupe, E."	2020-01-06	2020	Marine Biodiversity and Geographic Distributions Are Independent on Large Scales	Current Biology	30	1	115-121.e1-e5	Elsevier BV	doi	10.1016/j.cub.2019.10.065	closed_access	artikel	peerrevartikel	"Department: Diversity Dynamics; Collection: Fossile Bivalia, Gastropoda, Brachiopoda, Porifera"
1732	Ziegler, J.	"Gilasian, E.; Parchami-Araghi, M."	2020-01-07	2020	Review of the genus Synamphichaeta Villeneuve (Diptera: Tachinidae), with the description of a new species from Iran	Zootaxa	4718	2,6	251-260	Magnolia Press	doi	10.11646/zootaxa.4718.2.6	open_access	artikel	peerrevartikel	"This publication cites MfN collection specimens; This publication is a taxonomic revision; This publication is a species description; Department: Biodiversity Discovery; Collection: Vermes"
1825	Struck, U.	"Wang, R.; Zhang, C.; Huang, X.; Zhao, L.; Yang, S.; Yin, D."	2020-01-09	2020	Distribution and source of heavy metals in the sediments of the coastal East China sea: Geochemical controls and typhoon impact	Environmental Pollution	260		113936	Elsevier BV	doi	10.1016/j.envpol.2020.113936	closed_access	artikel	peerrevartikel	"Toxicology; Pollution; Health, Toxicology and Mutagenesis; General Medicine; Department: Diversity Dynamics; Laboratory: Isotope laboratories"
1826	"Diekämper, J.; Moormann, A.; Vohland, K.; Schönert, V."	"Hegerl, C.; Netke, T."	2020-01-22	2020	Genomeditierung als res publica				1-126	Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung	doi	10.7479/byq7-xe10	open_access	graueliteratur	bericht	Department: Science in Society
1837	"Kaufmann, F.; Hecht, L."	"Hepworth, L.; Gertisser, R.; O’Driscoll, B."	2020-01-30	2020	Braided peridotite sills and metasomatism in the Rum Layered Suite, Scotland	Contributions to Mineralogy and Petrology	175	2	17	Springer Science and Business Media LLC	doi	10.1007/s00410-019-1652-9	open_access	artikel	peerrevartikel	"Department: Impact and Meteorite Research; Laboratory: Geochemical and microanalytical facilities"
1839	Coleman, C.	Radulovici, A.	2020-01-31	2020	Challenges for the future of taxonomy: talents, databases and knowledge growth	Megataxa	1	1	28-34	Magnolia Press	doi	10.11646/megataxa.1.1.5	open_access	artikel	peerrevartikel	Department: Biodiversity Discovery
