Title;Excerpt;Tags;Team;Projekt-URL
Offene Arbeitsgruppe “FIND – Frauen in der Naturkunde”;Es gab sie doch! Spurensuche am Museum  Wer die Säugetiersammlung im Museum für Naturkunde besucht, begegnet auf den Fluren dem Präparat eines Moschusochsens, dahinter an der Wand eine Vergrößerung dieser historischen Fotografie. Wer sind die beiden lächelnden Frauen, die sich auf dem Tier sitzend;FB2 Zukunft der Sammlung, Forschung, Politik, Wissenstransfer, Wissenschaftsdatenmanagement, Sammlung;Dr. Sabine von Mering, Anita Hermannstädter, Sarina Schirmer;https://www.museumfuernaturkunde.berlin/de/science/offene-arbeitsgruppe-find-frauen-der-naturkunde
Begleitstudie zum Wissenschaftsjahr 2022 – Nachgefragt!;Partizipative Wissenschaftskommunikation ist von zunehmender Relevanz in Wissenschaft und Praxis. Zugleich stellt sich die Frage, wie partizipative Wissenschaftskommunikation in Ergänzung zu etablierteren Formaten der Wissenschaftskommunikation ausgestaltet werden kann und soll. In dem über den Strategiefonds der Leibniz-Gemeinschaft geförderten Vorhaben untersucht das Museum für Naturkunde Berlin die unterschiedlichen Anwendungskontexte, Formate und Wirkungen von 20 Projekten des Wissenschaftsjahrs 2022 – Nachgefragt!;FB3 Gesellschaft und Natur;Dr. Sabrina Kirschke, Jannis Glahe;https://www.museumfuernaturkunde.berlin/de/forschung/begleitstudie-zum-wissenschaftsjahr-2022-nachgefragt
Analyse von Narrativen im Gentechnikdiskurs;Ziel des Vorhabens „Analyse von Narrativen im Gentechnikdiskurs“ ist es, diese verschiedenen Narrative im historischen Zeitverlauf zu identifizieren, sichtbar zu machen und ihren Wandel zu beschreiben.;FB3 Gesellschaft und Natur;Dr. Sabrina Kirschke;https://www.museumfuernaturkunde.berlin/de/forschung/analyse-von-narrativen-im-gentechnikdiskurs
Ausstellungsbezogener Leihverkehr;Leihobjekt;FB2 Zukunft der Sammlung, Sammlungsmanagement;Dr. Meta Friese;https://www.museumfuernaturkunde.berlin/de/forschung/ausstellungsbezogener-leihverkehr
Nachhaltige Datenpraktiken und Dateninfrastrukturen in der Biodiversitätsforschung;"Bestäubungsinsekten auf einer Blüte
      
            Die Biodiversitätswissenschaft steht vor der Herausforderung, die Nachhaltigkeit ihrer Datenpraktiken und -infrastrukturen zu hinterfragen und entsprechend weiterzuentwickeln, um ihre Zukunftsfähigkeit unter Berücksichtigung der Schonung von Ressourcen sicherzustellen.";FB2 Zukunft der Sammlung, Wissenschaftsdatenmanagement;Dr. Giuditta Parolini, Dr. Mareike Petersen;https://www.museumfuernaturkunde.berlin/de/forschung/nachhaltige-datenpraktiken-und-dateninfrastrukturen-der-biodiversitaetsforschung
„Trust in Citizen Science” – Forschung zu Vertrauen in Citizen Science;Wissenschaft öffnet sich für die Gesellschaft: Forschung zu Vertrauen in Citizen Science am Museum für Naturkunde Berlin.;FB3 Gesellschaft und Natur, Forschung, Wissenschaftskommunikation, Bürgerwissenschaften;Dr. Susanne Hecker, Silke Voigt-Heucke, Jakob Meyer, Jakob Meyer;https://www.museumfuernaturkunde.berlin/de/forschung/trust-citizen-science-forschung-zu-vertrauen-citizen-science
Vielfalt Verstehen – Natur erforschen und erleben;Vielfalt Verstehen ist ein gemeinsames Projekt aus Forschung und Bildung, das sich mit der Biodiversität in Berlin beschäftigt.;FB1 Dynamik der Natur, FB3 Gesellschaft und Natur, Öffnung des Museums, Wissenstransfer, Biodiversität, Bürgerwissenschaften;Astrid Faber, Nike Sommerwerk, Jörg Freyhof, Silvia Keinath, Melina Fienitz, Ronja Velder, Kim Mortega, Frederic Griesbaum, Louisa Ramke, Julia Kissel;https://www.museumfuernaturkunde.berlin/de/forschung/vielfalt-verstehen-natur-erforschen-und-erleben
WiNoDa;In dem Projekt WiNoDa (Wissenslabor für Naturwissenschaftliche Sammlungen und objektzentrierte Daten) wird ein Datenkompetenzzentrum entwickelt, das sich auf die Erforschung von naturwissenschaftlichen Sammlungen konzentriert.;FB2 Zukunft der Sammlung, Forschungsinfrastruktur, Datenbank, Wissenschaftsdatenmanagement, Digitalisierung;Dr. Alex Miklashevsky, Cora Albrecht, Dr. Karolin Heinle, Katja Loginova, Dr. Mareike Petersen;https://www.museumfuernaturkunde.berlin/de/forschung/winoda
ELIO - Entwicklungslabor für Innovation in der Objektdigitalisierung;Innovation in der Objektdigitalisierung;FB2 Zukunft der Sammlung;Dr. Frederik Berger, Lisa Pfeiffer, Jakob Müller, Margot Belot, Bernhard Schurian, Romy Campe;https://www.museumfuernaturkunde.berlin/de/forschung/elio-entwicklungslabor-fuer-innovation-der-objektdigitalisierung
BioDivHubs - Biodiversität ins Quartier;Der Garten wächst ins Quartier.;Social Innovation Unit, Biodiversität, Gesellschaft;Ulrike Sturm, Susan Karlebowski;https://www.museumfuernaturkunde.berlin/de/forschung/biodivhubs-biodiversitaet-ins-quartier
Bilder der Natur #2;"Die Beiträge der Reihe ""Bilder der Natur"" geben Einblick in die Bildsammlungen des Museumsarchivs.";FB3 Gesellschaft und Natur, Forschung, Wissenstransfer, Wissenschaftskommunikation, Sammlung;Sophia Gräfe;https://www.museumfuernaturkunde.berlin/de/forschung/bilder-der-natur-2
