Title;Excerpt;Tags;Team;Project-URL
Open Working Group “FIND – Women in Natural History”;Anyone visiting the mammal collection at the Museum für Naturkunde will come across a specimen of a musk ox in the corridors with an enlargement of this historical photograph on the wall behind it. But who are the two smiling women photographed sitting on the animal with taxidermied bears in their;SP2 Collection Future, Research, Politics, Knowledge Transfer, Research Data Management, Collection;Dr. Sabine von Mering, Anita Hermannstädter, Sarina Schirmer;https://www.museumfuernaturkunde.berlin/en/science/open-working-group-find-frauen-der-naturkunde
Loans for Exhibitions;Loan Object;SP2 Collection Future, Collections Management;Dr. Meta Friese;https://www.museumfuernaturkunde.berlin/en/research/loans-exhibitions
Sustainable data practices and infrastructures in biodiversity science;"Pollinating insects on a flower
      
            The biodiversity community faces the challenge to evaluate and improve the sustainability of its data practices and infrastructures to ensure that they are future-proof and resource-efficient. An all-round evaluation of sustainability in biodiversity informatics requires to address, alongside financial viability, also the fair use of natural resources required by infrastructure development and maintenance, and the availability of biodiversity data for all interested stakeholders, irrespective of constraints such as economic resources or location.";SP2 Collection Future, Research Data Management;Dr. Mareike Petersen;https://www.museumfuernaturkunde.berlin/en/research/sustainable-data-practices-and-infrastructures-biodiversity-science
“Trust in Citizen Science” - Research on trust in citizen science;Science opens up to society: research on trust in citizen science at the Museum für Naturkunde Berlin.;SP3 Society and Nature, Research, Science Communication, Citizen Science;Dr. Susanne Hecker, Silke Voigt-Heucke, Jakob Meyer, Jakob Meyer;https://www.museumfuernaturkunde.berlin/en/research/trust-citizen-science-research-trust-citizen-science
Vielfalt Verstehen – Natur erforschen und erleben (Understanding Diversity);Vielfalt Verstehen is a joint research and education project that focuses on biodiversity in Berlin.;SP1 Dynamics of Nature, SP3 Society and Nature, Open Museum, Knowledge Transfer, Biodiversity, Citizen Science;Astrid Faber, Nike Sommerwerk, Jörg Freyhof, Silvia Keinath, Melina Fienitz, Ronja Velder, Kim Mortega, Frederic Griesbaum, Julia Kissel, Louisa Ramke;https://www.museumfuernaturkunde.berlin/en/research/vielfalt-verstehen-natur-erforschen-und-erleben-understanding-diversity
WiNoDa;In the project WiNoDa (Knowledge Laboratory for Natural Science Collections and Object-Related Data), a data competence center is being developed that focuses on research of natural science collections.;SP2 Collection Future, Research Infrastructure, Database, Research Data Management, Digitalization;Dr. Alex Miklashevsky, Cora Albrecht, Dr. Karolin Heinle, Katja Loginova, Dr. Mareike Petersen;https://www.museumfuernaturkunde.berlin/en/research/winoda
ELIO - development laboratory for innovation in object digitization;innovation in object digitization;SP2 Collection Future;Dr. Frederik Berger, Lisa Pfeiffer, Jakob Müller, Margot Belot, Bernhard Schurian, Romy Campe;https://www.museumfuernaturkunde.berlin/en/research/elio-development-laboratory-innovation-object-digitization
BioDivHubs - Biodiversity in the neighborhood;The garden grows into the neighborhood.;Social Innovation Unit, Biodiversity, Society;Susan Karlebowski, Ulrike Sturm;https://www.museumfuernaturkunde.berlin/en/research/biodivhubs-biodiversity-neighborhood
"Creating opportunities in Berlin:  Educational ecosystem ""Museum in school""";The aim of the project is to firmly anchor the museum in school structures as an innovative extracurricular learning location.;SP3 Society and Nature, Knowledge Transfer, Society, Cooperation;Dr. Alexandra Moormann, Aria Tilove;https://www.museumfuernaturkunde.berlin/en/research/creating-opportunities-berlin-educational-ecosystem-museum-school
Human-nature relationships in the Anthropocene;Inter- and transdisciplinary research on the interplay between humans, nature and digital transformation;Social Innovation Unit;Ulrike Sturm, Johannes Ebbighausen, Dr. Elisabeth Heyne, Susan Karlebowski, Dr. Omid Khorramshahi, Julia Tovote, Martin Tscholl;https://www.museumfuernaturkunde.berlin/en/research/human-nature-relationships-anthropocene
Berlin School of Public Engagement und Open Science;"The Berlin School connects people and research. We create incentives, opportunities, and competencies for collaboration between stakeholders, publics, and researchers at all career levels. To this end, the Berlin School offers training and consultancy for researchers at all career levels in research institutions worldwide, and to Public Engagement professionals in Germany, to build capacity and competence for Public Engagement and participation with research.
Our offers include:";Public Engagement and Impact, Research, Transfer, Open Museum, Future Plan, Knowledge Transfer, Science Communication, Society, Cooperation;;https://www.museumfuernaturkunde.berlin/en/research/berlin-school-public-engagement-und-open-science
European Citizen Science;Citizen Science;Social Innovation Unit, Science Communication, Citizen Science, Open Science;Silke Voigt-Heucke, Marius Oesterheld;https://www.museumfuernaturkunde.berlin/en/research/european-citizen-science
IETI - Impact-oriented Public Engagement;To face upcoming global, environmental and societal challenges we need to create impactful exchange and interactions between science and society. IETI - Impact-oriented Public Engagement - aims to increase the quality and efficiency of the Museum für Naturkunde Berlin’s Public Engagement, thus contributing to its academic, societal and environmental impact.;Public Engagement and Impact, Research, Transfer, Open Museum, Future Plan, Politics, Knowledge Transfer, Science Communication, Citizen Science, Society;Dr. Alina Loth, Dr. Zinaida Vasilyeva, Konstanza Jochim, Luise Proske, Dr. Ana Faustino, Zinaida Vasilyeva;https://www.museumfuernaturkunde.berlin/en/research/ieti-impact-oriented-public-engagement
